%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1453,-36.54999923706055,-30.770000457763672,-26.889999389648438,-42.97999954223633,11.680000305175781,-33.709999084472656,-45.220001220703125,-78.7300033569336,-0.12710000574588776,9.303000450134277,1.3619999885559082,-18.469999313354492,-8.61299991607666,9.890000343322754,-43.33000183105469,0.39890000224113464,0,0,0,0,0,0,0,0,0,0,0,0,0,19.584106,0,2025-05-31 12:16:47.907025,
1454,-24.600000381469727,-28.219999313354492,-34.38999938964844,-51.65999984741211,15.050000190734863,-34.689998626708984,-50.060001373291016,-86.69000244140625,12.789999961853027,-23.209999084472656,-10.430000305175781,-23.579999923706055,-18.809999465942383,10.880000114440918,-19.959999084472656,6.89300012588501,0,0,0,0,0,0,0,0,0,0,0,0,0,19.584106,0,2025-05-31 12:16:47.907025,
1455,-42.099998474121094,-58.58000183105469,-18.329999923706055,-52.040000915527344,15.829999923706055,-51.650001525878906,-67.2699966430664,-92.36000061035156,10.390000343322754,-21.0,-22.059999465942383,-39.16999816894531,-41.06999969482422,-5.434000015258789,-15.949999809265137,0.16220000386238098,0,0,0,0,0,0,0,0,0,0,0,0,0,19.584106,0,2025-05-31 12:16:47.907025,
1456,-58.790000915527344,-57.77000045776367,-11.970000267028809,-29.290000915527344,15.279999732971191,-40.13999938964844,-53.2599983215332,-68.93000030517578,-5.790999889373779,31.239999771118164,-14.100000381469727,-29.489999771118164,-22.65999984741211,0.6700999736785889,-18.84000015258789,-1.3289999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,19.584106,0,2025-05-31 12:16:47.907025,
1457,-57.400001525878906,-26.540000915527344,-13.970000267028809,-23.100000381469727,11.630000114440918,-29.8799991607666,-45.65999984741211,-54.08000183105469,-23.06999969482422,-14.550000190734863,-25.020000457763672,-34.599998474121094,-16.040000915527344,2.5940001010894775,-16.850000381469727,-3.88700008392334,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63068,0,2025-05-31 12:16:47.953599,
1458,-70.83000183105469,-46.22999954223633,-19.729999542236328,-49.13999938964844,3.5910000801086426,-58.11000061035156,-74.19000244140625,-64.2300033569336,-34.540000915527344,-53.040000915527344,-40.619998931884766,-57.59000015258789,-43.13999938964844,-14.100000381469727,-24.649999618530273,-30.329999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63068,0,2025-05-31 12:16:47.953599,
1459,-71.2300033569336,-71.55999755859375,-17.959999084472656,-49.470001220703125,-2.934999942779541,-59.290000915527344,-73.55000305175781,-59.779998779296875,-32.099998474121094,-0.5005999803543091,-29.799999237060547,-55.54999923706055,-45.88999938964844,-10.699999809265137,-35.79999923706055,-51.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63068,0,2025-05-31 12:16:47.953599,
1460,-47.779998779296875,-55.81999969482422,-2.494999885559082,-25.489999771118164,-17.219999313354492,-31.09000015258789,-48.04999923706055,-53.5099983215332,-20.649999618530273,11.489999771118164,-24.459999084472656,-50.63999938964844,-38.7599983215332,-3.9019999504089355,-36.77000045776367,-42.91999816894531,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63068,0,2025-05-31 12:16:47.953599,
1461,-47.959999084472656,-50.0,2.765000104904175,-23.610000610351562,-16.520000457763672,-33.400001525878906,-50.9900016784668,-59.91999816894531,-16.68000030517578,-11.489999771118164,-33.75,-58.4900016784668,-45.04999923706055,-8.557000160217285,-31.719999313354492,-24.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63068,0,2025-05-31 12:16:47.953599,
1462,-57.84000015258789,-51.65999984741211,9.77400016784668,-21.040000915527344,14.649999618530273,-35.08000183105469,-50.04999923706055,-50.880001068115234,-16.639999389648438,-16.579999923706055,-39.630001068115234,-57.779998779296875,-35.060001373291016,0.8090999722480774,-30.209999084472656,-9.154000282287598,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677759,0,2025-05-31 12:16:48.000678,
1463,-46.43000030517578,-37.16999816894531,26.09000015258789,-3.7360000610351562,29.56999969482422,-16.399999618530273,-32.130001068115234,-39.970001220703125,-2.127000093460083,-18.770000457763672,-39.20000076293945,-51.16999816894531,-19.59000015258789,7.184000015258789,-37.720001220703125,-3.368000030517578,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677759,0,2025-05-31 12:16:48.000678,
1464,-36.630001068115234,-34.72999954223633,14.619999885559082,-8.211000442504883,19.100000381469727,-24.15999984741211,-42.290000915527344,-47.689998626708984,7.918000221252441,24.56999969482422,-30.229999542236328,-42.79999923706055,-19.059999465942383,-1.8839999437332153,-46.70000076293945,-15.039999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677759,0,2025-05-31 12:16:48.000678,
1465,-41.18000030517578,-41.560001373291016,-4.991000175476074,-23.31999969482422,10.270000457763672,-44.119998931884766,-60.41999816894531,-57.5,-13.34000015258789,37.58000183105469,-36.45000076293945,-41.09000015258789,-23.40999984741211,-11.09000015258789,-52.27000045776367,-27.56999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677759,0,2025-05-31 12:16:48.000678,
1466,-47.90999984741211,-38.43000030517578,4.000999927520752,-18.139999389648438,1.7319999933242798,-34.95000076293945,-46.45000076293945,-64.44999694824219,-28.540000915527344,-43.540000915527344,-59.58000183105469,-49.099998474121094,-27.43000030517578,-21.31999969482422,-59.47999954223633,-27.229999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677759,0,2025-05-31 12:16:48.000678,
1467,-41.02000045776367,-34.45000076293945,13.569999694824219,-7.627999782562256,-0.2583000063896179,-16.229999542236328,-27.760000228881836,-59.34000015258789,-12.680000305175781,-45.959999084472656,-56.22999954223633,-41.61000061035156,-22.329999923706055,-19.709999084472656,-56.349998474121094,-16.079999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,19.725697,0,2025-05-31 12:16:48.048616,
1468,-24.3799991607666,-32.470001220703125,0.6182000041007996,-8.404000282287598,1.7610000371932983,-19.020000457763672,-34.11000061035156,-42.650001525878906,-15.289999961853027,16.899999618530273,-37.27000045776367,-31.639999389648438,-20.360000610351562,-11.270000457763672,-37.34000015258789,-3.305999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,19.725697,0,2025-05-31 12:16:48.048616,
1469,-33.119998931884766,-38.5,-23.389999389648438,-21.829999923706055,-4.4039998054504395,-38.08000183105469,-52.25,-47.54999923706055,-38.7599983215332,-28.469999313354492,-32.7599983215332,-40.0,-36.47999954223633,-17.790000915527344,-22.969999313354492,-3.4700000286102295,0,0,0,0,0,0,0,0,0,0,0,0,0,19.725697,0,2025-05-31 12:16:48.048616,
1470,-51.22999954223633,-48.529998779296875,-23.459999084472656,-33.97999954223633,-2.946000099182129,-39.970001220703125,-50.58000183105469,-55.4900016784668,-21.84000015258789,-59.02000045776367,-25.309999465942383,-30.479999542236328,-37.279998779296875,-15.420000076293945,-12.40999984741211,-11.770000457763672,0,0,0,0,0,0,0,0,0,0,0,0,0,19.725697,0,2025-05-31 12:16:48.048616,
1471,-29.920000076293945,-40.29999923706055,15.720000267028809,-20.3700008392334,7.048999786376953,-14.779999732971191,-24.719999313354492,-38.2599983215332,15.039999961853027,-6.889999866485596,-9.77400016784668,-1.559000015258789,-23.719999313354492,-7.15500020980835,10.539999961853027,-12.8100004196167,0,0,0,0,0,0,0,0,0,0,0,0,0,19.725697,0,2025-05-31 12:16:48.048616,
